,ds,floor,cap
0,2020-03-01,0,17368
1,2020-03-02,0,17368
2,2020-03-03,0,17368
3,2020-03-04,0,17368
4,2020-03-05,0,17368
5,2020-03-06,0,17368
6,2020-03-07,0,17368
7,2020-03-08,0,17368
8,2020-03-09,0,17368
9,2020-03-10,0,17368
10,2020-03-11,0,17368
11,2020-03-12,0,17368
12,2020-03-13,0,17368
13,2020-03-14,0,17368
14,2020-03-15,0,17368
15,2020-03-16,0,17368
16,2020-03-17,0,17368
17,2020-03-18,0,17368
18,2020-03-19,0,17368
19,2020-03-20,0,17368
20,2020-03-21,0,17368
21,2020-03-22,0,17368
22,2020-03-23,0,17368
23,2020-03-24,0,17368
24,2020-03-25,0,17368
25,2020-03-26,0,17368
26,2020-03-27,0,17368
27,2020-03-28,0,17368
28,2020-03-29,0,17368
29,2020-03-30,0,17368
30,2020-03-31,0,17368
31,2020-04-01,0,17368
32,2020-04-02,0,17368
33,2020-04-03,0,17368
34,2020-04-04,0,17368
35,2020-04-05,0,17368
36,2020-04-06,0,17368
37,2020-04-07,0,17368
38,2020-04-08,0,17368
39,2020-04-09,0,17368
40,2020-04-10,0,17368
41,2020-04-11,0,17368
42,2020-04-12,0,17368
43,2020-04-13,0,17368
44,2020-04-14,0,17368
45,2020-04-15,0,17368
46,2020-04-16,0,17368
47,2020-04-17,0,17368
48,2020-04-18,0,17368
49,2020-04-19,0,17368
50,2020-04-20,0,17368
51,2020-04-21,0,17368
52,2020-04-22,0,17368
53,2020-04-23,0,17368
54,2020-04-24,0,17368
55,2020-04-25,0,17368
56,2020-04-26,0,17368
57,2020-04-27,0,17368
58,2020-04-28,0,17368
59,2020-04-29,0,17368
60,2020-04-30,0,17368
61,2020-05-01,0,17368
62,2020-05-02,0,17368
63,2020-05-03,0,17368
64,2020-05-04,0,17368
65,2020-05-05,0,17368
66,2020-05-06,0,17368
67,2020-05-07,0,17368
68,2020-05-08,0,17368
69,2020-05-09,0,17368
70,2020-05-10,0,17368
71,2020-05-11,0,17368
72,2020-05-12,0,17368
73,2020-05-13,0,17368
74,2020-05-14,0,17368
75,2020-05-15,0,17368
76,2020-05-16,0,17368
77,2020-05-17,0,17368
78,2020-05-18,0,17368
79,2020-05-19,0,17368
80,2020-05-20,0,17368
81,2020-05-21,0,17368
82,2020-05-22,0,17368
83,2020-05-23,0,17368
84,2020-05-24,0,17368
85,2020-05-25,0,17368
86,2020-05-26,0,17368
87,2020-05-27,0,17368
88,2020-05-28,0,17368
89,2020-05-29,0,17368
90,2020-05-30,0,17368
91,2020-05-31,0,17368
92,2020-06-01,0,17368
93,2020-06-02,0,17368
94,2020-06-03,0,17368
95,2020-06-04,0,17368
96,2020-06-05,0,17368
97,2020-06-06,0,17368
98,2020-06-07,0,17368
99,2020-06-08,0,17368
100,2020-06-09,0,17368
101,2020-06-10,0,17368
102,2020-06-11,0,17368
103,2020-06-12,0,17368
104,2020-06-13,0,17368
105,2020-06-14,0,17368
106,2020-06-15,0,17368
107,2020-06-16,0,17368
108,2020-06-17,0,17368
109,2020-06-18,0,17368
110,2020-06-19,0,17368
111,2020-06-20,0,17368
112,2020-06-21,0,17368
113,2020-06-22,0,17368
114,2020-06-23,0,17368
115,2020-06-24,0,17368
116,2020-06-25,0,17368
117,2020-06-26,0,17368
118,2020-06-27,0,17368
119,2020-06-28,0,17368
120,2020-06-29,0,17368
121,2020-06-30,0,17368
122,2020-07-01,0,17368
123,2020-07-02,0,17368
124,2020-07-03,0,17368
125,2020-07-04,0,17368
126,2020-07-05,0,17368
127,2020-07-06,0,17368
128,2020-07-07,0,17368
129,2020-07-08,0,17368
130,2020-07-09,0,17368
131,2020-07-10,0,17368
132,2020-07-11,0,17368
133,2020-07-12,0,17368
134,2020-07-13,0,17368
135,2020-07-14,0,17368
136,2020-07-15,0,17368
137,2020-07-16,0,17368
138,2020-07-17,0,17368
139,2020-07-18,0,17368
140,2020-07-19,0,17368
141,2020-07-20,0,17368
142,2020-07-21,0,17368
143,2020-07-22,0,17368
144,2020-07-23,0,17368
145,2020-07-24,0,17368
146,2020-07-25,0,17368
147,2020-07-26,0,17368
148,2020-07-27,0,17368
149,2020-07-28,0,17368
150,2020-07-29,0,17368
151,2020-07-30,0,17368
152,2020-07-31,0,17368
153,2020-08-01,0,17368
154,2020-08-02,0,17368
155,2020-08-03,0,17368
156,2020-08-04,0,17368
157,2020-08-05,0,17368
158,2020-08-06,0,17368
159,2020-08-07,0,17368
160,2020-08-08,0,17368
161,2020-08-09,0,17368
162,2020-08-10,0,17368
163,2020-08-11,0,17368
164,2020-08-12,0,17368
165,2020-08-13,0,17368
166,2020-08-14,0,17368
167,2020-08-15,0,17368
168,2020-08-16,0,17368
169,2020-08-17,0,17368
170,2020-08-18,0,17368
171,2020-08-19,0,17368
172,2020-08-20,0,17368
173,2020-08-21,0,17368
174,2020-08-22,0,17368
175,2020-08-23,0,17368
176,2020-08-24,0,17368
177,2020-08-25,0,17368
178,2020-08-26,0,17368
179,2020-08-27,0,17368
180,2020-08-28,0,17368
181,2020-08-29,0,17368
182,2020-08-30,0,17368
183,2020-08-31,0,17368
184,2020-09-01,0,17368
185,2020-09-02,0,17368
186,2020-09-03,0,17368
187,2020-09-04,0,17368
188,2020-09-05,0,17368
189,2020-09-06,0,17368
190,2020-09-07,0,17368
191,2020-09-08,0,17368
192,2020-09-09,0,17368
193,2020-09-10,0,17368
194,2020-09-11,0,17368
195,2020-09-12,0,17368
196,2020-09-13,0,17368
197,2020-09-14,0,17368
198,2020-09-15,0,17368
199,2020-09-16,0,17368
200,2020-09-17,0,17368
201,2020-09-18,0,17368
202,2020-09-19,0,17368
203,2020-09-20,0,17368
204,2020-09-21,0,17368
205,2020-09-22,0,17368
206,2020-09-23,0,17368
207,2020-09-24,0,17368
208,2020-09-25,0,17368
209,2020-09-26,0,17368
210,2020-09-27,0,17368
211,2020-09-28,0,17368
212,2020-09-29,0,17368
213,2020-09-30,0,17368
214,2020-10-01,0,17368
215,2020-10-02,0,17368
216,2020-10-03,0,17368
217,2020-10-04,0,17368
218,2020-10-05,0,17368
219,2020-10-06,0,17368
220,2020-10-07,0,17368
221,2020-10-08,0,17368
222,2020-10-09,0,17368
223,2020-10-10,0,17368
224,2020-10-11,0,17368
225,2020-10-12,0,17368
226,2020-10-13,0,17368
227,2020-10-14,0,17368
228,2020-10-15,0,17368
229,2020-10-16,0,17368
230,2020-10-17,0,17368
231,2020-10-18,0,17368
232,2020-10-19,0,17368
233,2020-10-20,0,17368
234,2020-10-21,0,17368
235,2020-10-22,0,17368
236,2020-10-23,0,17368
237,2020-10-24,0,17368
238,2020-10-25,0,17368
239,2020-10-26,0,17368
240,2020-10-27,0,17368
241,2020-10-28,0,17368
242,2020-10-29,0,17368
243,2020-10-30,0,17368
244,2020-10-31,0,17368
245,2020-11-01,0,17368
246,2020-11-02,0,17368
247,2020-11-03,0,17368
248,2020-11-04,0,17368
249,2020-11-05,0,17368
250,2020-11-06,0,17368
251,2020-11-07,0,17368
252,2020-11-08,0,17368
253,2020-11-09,0,17368
254,2020-11-10,0,17368
255,2020-11-11,0,17368
256,2020-11-12,0,17368
257,2020-11-13,0,17368
258,2020-11-14,0,17368
259,2020-11-15,0,17368
260,2020-11-16,0,17368
261,2020-11-17,0,17368
262,2020-11-18,0,17368
263,2020-11-19,0,17368
264,2020-11-20,0,17368
265,2020-11-21,0,17368
266,2020-11-22,0,17368
267,2020-11-23,0,17368
268,2020-11-24,0,17368
269,2020-11-25,0,17368
270,2020-11-26,0,17368
271,2020-11-27,0,17368
272,2020-11-28,0,17368
273,2020-11-29,0,17368
274,2020-11-30,0,17368
275,2020-12-01,0,17368
276,2020-12-02,0,17368
277,2020-12-03,0,17368
278,2020-12-04,0,17368
279,2020-12-05,0,17368
280,2020-12-06,0,17368
281,2020-12-07,0,17368
282,2020-12-08,0,17368
283,2020-12-09,0,17368
284,2020-12-10,0,17368
285,2020-12-11,0,17368
286,2020-12-12,0,17368
287,2020-12-13,0,17368
288,2020-12-14,0,17368
289,2020-12-15,0,17368
290,2020-12-16,0,17368
291,2020-12-17,0,17368
292,2020-12-18,0,17368
293,2020-12-19,0,17368
294,2020-12-20,0,17368
295,2020-12-21,0,17368
296,2020-12-22,0,17368
297,2020-12-23,0,17368
298,2020-12-24,0,17368
299,2020-12-25,0,17368
300,2020-12-26,0,17368
301,2020-12-27,0,17368
302,2020-12-28,0,17368
303,2020-12-29,0,17368
304,2020-12-30,0,17368
305,2020-12-31,0,17368
306,2021-01-01,0,17368
307,2021-01-02,0,17368
308,2021-01-03,0,17368
309,2021-01-04,0,17368
310,2021-01-05,0,17368
311,2021-01-06,0,17368
312,2021-01-07,0,17368
313,2021-01-08,0,17368
314,2021-01-09,0,17368
315,2021-01-10,0,17368
316,2021-01-11,0,17368
317,2021-01-12,0,17368
318,2021-01-13,0,17368
319,2021-01-14,0,17368
320,2021-01-15,0,17368
321,2021-01-16,0,17368
322,2021-01-17,0,17368
323,2021-01-18,0,17368
324,2021-01-19,0,17368
325,2021-01-20,0,17368
326,2021-01-21,0,17368
327,2021-01-22,0,17368
328,2021-01-23,0,17368
329,2021-01-24,0,17368
330,2021-01-25,0,17368
331,2021-01-26,0,17368
332,2021-01-27,0,17368
333,2021-01-28,0,17368
334,2021-01-29,0,17368
335,2021-01-30,0,17368
336,2021-01-31,0,17368
337,2021-02-01,0,17368
338,2021-02-02,0,17368
339,2021-02-03,0,17368
340,2021-02-04,0,17368
341,2021-02-05,0,17368
342,2021-02-06,0,17368
343,2021-02-07,0,17368
344,2021-02-08,0,17368
345,2021-02-09,0,17368
346,2021-02-10,0,17368
347,2021-02-11,0,17368
348,2021-02-12,0,17368
349,2021-02-13,0,17368
350,2021-02-14,0,17368
351,2021-02-15,0,17368
352,2021-02-16,0,17368
353,2021-02-17,0,17368
354,2021-02-18,0,17368
355,2021-02-19,0,17368
356,2021-02-20,0,17368
357,2021-02-21,0,17368
358,2021-02-22,0,17368
359,2021-02-23,0,17368
360,2021-02-24,0,17368
361,2021-02-25,0,17368
362,2021-02-26,0,17368
363,2021-02-27,0,17368
364,2021-02-28,0,17368
365,2021-03-01,0,17368
366,2021-03-02,0,17368
367,2021-03-03,0,17368
368,2021-03-04,0,17368
369,2021-03-05,0,17368
370,2021-03-06,0,17368
371,2021-03-07,0,17368
372,2021-03-08,0,17368
373,2021-03-09,0,17368
374,2021-03-10,0,17368
375,2021-03-11,0,17368
376,2021-03-12,0,17368
377,2021-03-13,0,17368
378,2021-03-14,0,17368
379,2021-03-15,0,17368
380,2021-03-16,0,17368
381,2021-03-17,0,17368
382,2021-03-18,0,17368
383,2021-03-19,0,17368
384,2021-03-20,0,17368
385,2021-03-21,0,17368
386,2021-03-22,0,17368
387,2021-03-23,0,17368
388,2021-03-24,0,17368
389,2021-03-25,0,17368
390,2021-03-26,0,17368
391,2021-03-27,0,17368
392,2021-03-28,0,17368
393,2021-03-29,0,17368
394,2021-03-30,0,17368
395,2021-03-31,0,17368
396,2021-04-01,0,17368
397,2021-04-02,0,17368
398,2021-04-03,0,17368
399,2021-04-04,0,17368
400,2021-04-05,0,17368
401,2021-04-06,0,17368
402,2021-04-07,0,17368
403,2021-04-08,0,17368
404,2021-04-09,0,17368
405,2021-04-10,0,17368
406,2021-04-11,0,17368
407,2021-04-12,0,17368
408,2021-04-13,0,17368
409,2021-04-14,0,17368
410,2021-04-15,0,17368
411,2021-04-16,0,17368
412,2021-04-17,0,17368
413,2021-04-18,0,17368
414,2021-04-19,0,17368
415,2021-04-20,0,17368
416,2021-04-21,0,17368
417,2021-04-22,0,17368
418,2021-04-23,0,17368
419,2021-04-24,0,17368
420,2021-04-25,0,17368
421,2021-04-26,0,17368
422,2021-04-27,0,17368
423,2021-04-28,0,17368
424,2021-04-29,0,17368
425,2021-04-30,0,17368
426,2021-05-01,0,17368
427,2021-05-02,0,17368
428,2021-05-03,0,17368
429,2021-05-04,0,17368
430,2021-05-05,0,17368
431,2021-05-06,0,17368
432,2021-05-07,0,17368
433,2021-05-08,0,17368
434,2021-05-09,0,17368
435,2021-05-10,0,17368
436,2021-05-11,0,17368
437,2021-05-12,0,17368
438,2021-05-13,0,17368
439,2021-05-14,0,17368
440,2021-05-15,0,17368
441,2021-05-16,0,17368
442,2021-05-17,0,17368
443,2021-05-18,0,17368
444,2021-05-19,0,17368
445,2021-05-20,0,17368
446,2021-05-21,0,17368
447,2021-05-22,0,17368
448,2021-05-23,0,17368
449,2021-05-24,0,17368
450,2021-05-25,0,17368
451,2021-05-26,0,17368
452,2021-05-27,0,17368
453,2021-05-28,0,17368
454,2021-05-29,0,17368
455,2021-05-30,0,17368
456,2021-05-31,0,17368
457,2021-06-01,0,17368
458,2021-06-02,0,17368
459,2021-06-03,0,17368
460,2021-06-04,0,17368
461,2021-06-05,0,17368
462,2021-06-06,0,17368
463,2021-06-07,0,17368
464,2021-06-08,0,17368
465,2021-06-09,0,17368
466,2021-06-10,0,17368
467,2021-06-11,0,17368
468,2021-06-12,0,17368
469,2021-06-13,0,17368
470,2021-06-14,0,17368
471,2021-06-15,0,17368
472,2021-06-16,0,17368
473,2021-06-17,0,17368
474,2021-06-18,0,17368
475,2021-06-19,0,17368
476,2021-06-20,0,17368
477,2021-06-21,0,17368
478,2021-06-22,0,17368
479,2021-06-23,0,17368
480,2021-06-24,0,17368
481,2021-06-25,0,17368
482,2021-06-26,0,17368
483,2021-06-27,0,17368
484,2021-06-28,0,17368
485,2021-06-29,0,17368
486,2021-06-30,0,17368
487,2021-07-01,0,17368
488,2021-07-02,0,17368
489,2021-07-03,0,17368
490,2021-07-04,0,17368
491,2021-07-05,0,17368
492,2021-07-06,0,17368
493,2021-07-07,0,17368
494,2021-07-08,0,17368
495,2021-07-09,0,17368
496,2021-07-10,0,17368
497,2021-07-11,0,17368
498,2021-07-12,0,17368
499,2021-07-13,0,17368
500,2021-07-14,0,17368
501,2021-07-15,0,17368
502,2021-07-16,0,17368
503,2021-07-17,0,17368
504,2021-07-18,0,17368
505,2021-07-19,0,17368
506,2021-07-20,0,17368
507,2021-07-21,0,17368
508,2021-07-22,0,17368
509,2021-07-23,0,17368
510,2021-07-24,0,17368
511,2021-07-25,0,17368
512,2021-07-26,0,17368
513,2021-07-27,0,17368
514,2021-07-28,0,17368
515,2021-07-29,0,17368
516,2021-07-30,0,17368
517,2021-07-31,0,17368
518,2021-08-01,0,17368
519,2021-08-02,0,17368
520,2021-08-03,0,17368
521,2021-08-04,0,17368
522,2021-08-05,0,17368
523,2021-08-06,0,17368
524,2021-08-07,0,17368
525,2021-08-08,0,17368
526,2021-08-09,0,17368
527,2021-08-10,0,17368
528,2021-08-11,0,17368
529,2021-08-12,0,17368
530,2021-08-13,0,17368
531,2021-08-14,0,17368
532,2021-08-15,0,17368
533,2021-08-16,0,17368
534,2021-08-17,0,17368
535,2021-08-18,0,17368
536,2021-08-19,0,17368
537,2021-08-20,0,17368
538,2021-08-21,0,17368
539,2021-08-22,0,17368
540,2021-08-23,0,17368
541,2021-08-24,0,17368
542,2021-08-25,0,17368
543,2021-08-26,0,17368
544,2021-08-27,0,17368
545,2021-08-28,0,17368
546,2021-08-29,0,17368
547,2021-08-30,0,17368
548,2021-08-31,0,17368
549,2021-09-01,0,17368
550,2021-09-02,0,17368
551,2021-09-03,0,17368
552,2021-09-04,0,17368
553,2021-09-05,0,17368
554,2021-09-06,0,17368
555,2021-09-07,0,17368
556,2021-09-08,0,17368
557,2021-09-09,0,17368
558,2021-09-10,0,17368
559,2021-09-11,0,17368
560,2021-09-12,0,17368
561,2021-09-13,0,17368
562,2021-09-14,0,17368
563,2021-09-15,0,17368
564,2021-09-16,0,17368
565,2021-09-17,0,17368
566,2021-09-18,0,17368
567,2021-09-19,0,17368
568,2021-09-20,0,17368
569,2021-09-21,0,17368
570,2021-09-22,0,17368
571,2021-09-23,0,17368
572,2021-09-24,0,17368
573,2021-09-25,0,17368
574,2021-09-26,0,17368
575,2021-09-27,0,17368
576,2021-09-28,0,17368
577,2021-09-29,0,17368
578,2021-09-30,0,17368
579,2021-10-01,0,17368
580,2021-10-02,0,17368
581,2021-10-03,0,17368
582,2021-10-04,0,17368
583,2021-10-05,0,17368
584,2021-10-06,0,17368
585,2021-10-07,0,17368
586,2021-10-08,0,17368
587,2021-10-09,0,17368
588,2021-10-10,0,17368
589,2021-10-11,0,17368
590,2021-10-12,0,17368
591,2021-10-13,0,17368
592,2021-10-14,0,17368
593,2021-10-15,0,17368
594,2021-10-16,0,17368
595,2021-10-17,0,17368
596,2021-10-18,0,17368
597,2021-10-19,0,17368
598,2021-10-20,0,17368
599,2021-10-21,0,17368
600,2021-10-22,0,17368
601,2021-10-23,0,17368
602,2021-10-24,0,17368
603,2021-10-25,0,17368
604,2021-10-26,0,17368
605,2021-10-27,0,17368
606,2021-10-28,0,17368
607,2021-10-29,0,17368
608,2021-10-30,0,17368
609,2021-10-31,0,17368
610,2021-11-01,0,17368
611,2021-11-02,0,17368
612,2021-11-03,0,17368
613,2021-11-04,0,17368
614,2021-11-05,0,17368
615,2021-11-06,0,17368
616,2021-11-07,0,17368
617,2021-11-08,0,17368
618,2021-11-09,0,17368
619,2021-11-10,0,17368
620,2021-11-11,0,17368
621,2021-11-12,0,17368
622,2021-11-13,0,17368
623,2021-11-14,0,17368
624,2021-11-15,0,17368
625,2021-11-16,0,17368
626,2021-11-17,0,17368
627,2021-11-18,0,17368
628,2021-11-19,0,17368
629,2021-11-20,0,17368
630,2021-11-21,0,17368
631,2021-11-22,0,17368
632,2021-11-23,0,17368
633,2021-11-24,0,17368
634,2021-11-25,0,17368
635,2021-11-26,0,17368
636,2021-11-27,0,17368
637,2021-11-28,0,17368
638,2021-11-29,0,17368
639,2021-11-30,0,17368
640,2021-12-01,0,17368
641,2021-12-02,0,17368
642,2021-12-03,0,17368
643,2021-12-04,0,17368
644,2021-12-05,0,17368
645,2021-12-06,0,17368
646,2021-12-07,0,17368
647,2021-12-08,0,17368
648,2021-12-09,0,17368
649,2021-12-10,0,17368
650,2021-12-11,0,17368
651,2021-12-12,0,17368
652,2021-12-13,0,17368
653,2021-12-14,0,17368
654,2021-12-15,0,17368
655,2021-12-16,0,17368
656,2021-12-17,0,17368
657,2021-12-18,0,17368
658,2021-12-19,0,17368
659,2021-12-20,0,17368
660,2021-12-21,0,17368
661,2021-12-22,0,17368
662,2021-12-23,0,17368
663,2021-12-24,0,17368
664,2021-12-25,0,17368
665,2021-12-26,0,17368
666,2021-12-27,0,17368
667,2021-12-28,0,17368
668,2021-12-29,0,17368
669,2021-12-30,0,17368
670,2021-12-31,0,17368
671,2022-01-01,0,17368
672,2022-01-02,0,17368
673,2022-01-03,0,17368
674,2022-01-04,0,17368
